sep=,
step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,441,1,0.03259492375194267,0.0,0.9847560975609756,0.015322209567785855,0.0,0.9885057471264368
2,770,2,0.02473701208453706,0.0,0.9724770642201835,,,
3,1171,3,0.02571401623870665,0.0,0.9850746268656716,,,
4,1500,4,0.03460810901116353,0.0,0.9747474747474747,,,
5,1869,5,0.018199050775625364,0.0,0.9921875,,,
6,2286,6,0.03578349621167565,0.0,0.9822695035460993,,,
7,2719,7,0.04661135537524992,0.0,0.9755351681957186,,,
8,3576,8,0.060734339805897805,0.0,0.9668508287292817,,,
9,3945,9,0.02668108276141475,0.0,0.9807692307692307,0.03518289093016223,0.0,0.9825436408977556
10,4874,10,0.05501571268110952,0.0,0.9732685297691372,,,
11,5467,11,0.04648427156203015,0.0,0.974025974025974,,,
12,5828,12,0.04177400363659947,0.0,0.9699570815450643,,,
13,6125,13,0.05151580756514111,0.0,0.9570552147239264,,,
14,6494,14,0.03251992758499083,0.0,0.9830508474576272,,,
15,6943,15,0.025444922201944366,0.0,0.987460815047022,,,
16,7432,16,0.028591611608170874,0.0,0.9859154929577465,,,
17,7841,17,0.027445722841032204,0.0,0.9818840579710145,0.05418265076495754,0.0,0.9693486590038314
18,8282,18,0.0325665474134539,0.0,0.9786585365853658,,,
19,8747,19,0.026028256698789404,0.0,0.9832869080779945,,,
20,9108,20,0.036370361444246956,0.0,0.973568281938326,,,
21,9725,21,0.03982413295603595,0.0,0.9815573770491803,,,
22,10054,22,0.032012708193738686,0.0,0.9795918367346939,,,
23,10695,23,0.06044487223031084,0.0,0.9678030303030303,,,
24,11072,24,0.03086327682843347,0.0,0.981203007518797,,,
25,11481,25,0.030273412874368678,0.0,0.9832214765100671,0.034214104145498615,0.0,0.9847560975609756
26,11914,26,0.031330882100593274,0.0,0.9876160990712074,,,
27,12347,27,0.026672974929843746,0.0,0.9814814814814815,,,
28,12676,28,0.04471629196449835,0.0,0.9847715736040609,,,
29,13093,29,0.022905775470199688,0.0,0.9826388888888888,,,
30,13454,30,0.023766824635577517,0.0,0.9912280701754386,,,
31,13631,31,0.08945258910494652,0.0,0.9393939393939394,,,
32,13960,32,0.025951751973869945,0.0,0.9862385321100917,,,
33,14353,33,0.02980076744014663,0.0,0.9789473684210527,0.035403101458584864,0.0,0.9847560975609756
34,14754,34,0.02536809894719613,0.0,0.9761092150170648,,,
35,15131,35,0.024806095349572694,0.0,0.983739837398374,,,
36,15444,36,0.035739351443865496,0.0,0.98,,,
37,15925,37,0.05630849083916508,0.0,0.9744318181818182,,,
38,16406,38,0.07268411110773852,0.0,0.9571428571428572,,,
39,16775,39,0.024020927792696458,0.0,0.9916317991631799,,,
40,17136,40,0.026461827113730112,0.0,0.988,,,
41,17649,41,0.03678641704463162,0.0,0.984251968503937,0.02922904083839515,0.0,0.985239852398524
42,18170,42,0.05149026337143857,0.0,0.9689922480620154,,,
43,18571,43,0.03138623278473558,0.0,0.9794520547945206,,,
44,18900,44,0.028420767524721984,0.0,0.9742268041237113,,,
45,19445,45,0.03716567265976315,0.0,0.9884259259259259,,,
46,20078,46,0.0738268303673467,0.0,0.9721115537848606,,,
47,20487,47,0.04327164375458732,0.0,0.985663082437276,,,
