step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,1764,4,0.009951206197345101,0.25,0.9940476190476191,0.0168098212386069,0.0,0.9852369852369852
2,4072,8,0.028048318432644524,0.0,0.9815078236130867,,,
3,5868,12,0.01686122712732465,0.0,0.9869215291750503,,,
4,9648,16,0.01889477456674471,0.0,0.9774590163934426,,,
5,13524,20,0.023852838288840963,0.0,0.9790209790209791,,,
6,17688,24,0.020983520481537246,0.0,0.9773030707610146,,,
7,20668,28,0.03060819789910829,0.0,0.9802927927927928,,,
8,22624,32,0.01314891015245004,0.0,0.9902534113060428,,,
9,25316,36,0.018771923786662027,0.0,0.9879421221864951,0.02325223042696256,0.0,0.9859550561797753
10,27112,40,0.015314150336432979,0.0,0.9879253567508233,,,
11,28876,44,0.025794354190357197,0.0,0.9794921875,,,
12,30928,48,0.017455623845591614,0.0,0.9865831842576028,,,
13,33012,52,0.016419587986442687,0.25,0.993202416918429,,,
14,36280,56,0.02885703898515746,0.0,0.9829950630828305,,,
15,37948,60,0.014229042590340803,0.0,0.9903100775193798,,,
16,42816,64,0.024455791891159925,0.0,0.9767857142857143,,,
17,46148,68,0.024526628102500905,0.0,0.9843324250681199,0.021393906343369025,0.0,0.9781468531468531
18,47784,72,0.01924759073615899,0.0,0.9849056603773585,,,
19,49708,76,0.024842733175149546,0.0,0.9841137123745819,,,
20,51664,80,0.01567439918507427,0.0,0.9870967741935484,,,
21,53972,84,0.0200184391493521,0.0,0.9857651245551602,,,
22,57112,88,0.01833069888648497,0.0,0.9865996649916248,,,
23,59132,92,0.016576878188331794,0.0,0.9865642994241842,,,
24,62304,96,0.018395122612330603,0.0,0.9843063402385436,,,
25,64356,100,0.014690078225080139,0.0,0.9898074745186863,0.02585159799907936,0.0,0.9824458747805734
26,67528,104,0.017289511827558467,0.0,0.9847961299239807,,,
27,69420,108,0.012388342386088266,0.0,0.9919436052366566,,,
28,71792,112,0.01542124468207952,0.0,0.9896907216494846,,,
29,75604,116,0.01704995151283554,0.0,0.9828641370869033,,,
30,79608,120,0.018361624411916834,0.0,0.9835039817974972,,,
31,82204,124,0.01821034263633088,0.0,0.9875583203732504,,,
32,84128,128,0.01729738389341468,0.0,0.9882168106834249,,,
33,86404,132,0.017918227318628917,0.25,0.9852686308492201,0.023015297680887947,0.0,0.9863013698630136
34,88776,136,0.017114290494559533,0.0,0.9851657940663177,,,
35,90700,140,0.01748186530857389,0.0,0.9869158878504672,,,
36,93456,144,0.016485444683735632,0.0,0.9894039735099338,,,
37,96244,148,0.024435088554214016,0.0,0.9832572298325722,,,
38,99576,152,0.013959979911263964,0.0,0.9871114480667172,,,
39,101340,156,0.012768247087612808,0.0,0.9903762029746281,,,
40,103968,160,0.015454217604343706,0.0,0.9898710865561694,,,
41,107076,164,0.013936777089563134,0.0,0.9877955758962624,0.02824076526463971,0.0,0.9784702549575071
42,109384,168,0.01545456280874552,0.25,0.9879789631855748,,,
43,111276,172,0.013014618999439771,0.0,0.9924741298212606,,,
44,113360,176,0.02157159522197794,0.0,0.9888579387186629,,,
45,115572,180,0.012833941511991106,0.0,0.9930662557781201,,,
46,119480,184,0.025643628790288482,0.0,0.9804602692140686,,,
47,121276,188,0.009814032423729985,0.25,0.9944598337950139,,,
48,122912,192,0.01857628204828359,0.0,0.9900497512437811,,,
49,124676,196,0.01418832801998488,0.0,0.9905838041431262,0.03400716193215197,0.0,0.9756361667569031
50,126600,200,0.009704013529758566,0.0,0.9917610710607621,,,
51,129676,204,0.023698589935839814,0.0,0.9800399201596807,,,
52,131760,208,0.01807512521954116,0.0,0.9882720875684128,,,
53,134292,212,0.022623940169922665,0.0,0.9832572298325722,,,
54,136120,216,0.012664705926663106,0.0,0.990409764603313,,,
55,140604,220,0.020021905957789993,0.0,0.9804147465437788,,,
56,143936,224,0.01940158787660755,0.0,0.9878271454656117,,,
57,146500,228,0.02032742044823787,0.0,0.9807121661721068,0.02128607245194168,0.0,0.9873837981407703
58,149896,232,0.028050334695753958,0.0,0.9807073954983923,,,
59,155436,236,0.020497716770784127,0.0,0.9816143497757848,,,
60,157584,240,0.018491273117936732,0.0,0.9875835721107927,,,
61,159508,244,0.0114399827358727,0.25,0.9921568627450981,,,
62,161432,248,0.01627738127351006,0.0,0.9894837476099426,,,
63,163772,252,0.018482332584371423,0.0,0.9885844748858448,,,
64,169280,256,0.018509994675497177,0.0,0.9822824387701928,,,
65,171780,260,0.017739303231887098,0.0,0.9893992932862191,0.018752711541920302,0.0,0.9838709677419355
66,174888,264,0.02169974732181265,0.0,0.985485103132162,,,
67,179468,268,0.0218648904289332,0.0,0.9799260433174855,,,
68,182512,272,0.021188319028247655,0.0,0.9848675914249685,,,
69,185268,276,0.016989441321803824,0.0,0.9877697841726619,,,
70,187192,280,0.019658433073056383,0.0,0.9860515021459227,,,
71,190428,284,0.02522581875605792,0.0,0.9798770262716602,,,
72,192000,288,0.024189968803007358,0.0,0.9790794979079498,,,
73,193892,292,0.01297901807844192,0.0,0.9943661971830986,0.015553880376236673,0.0,0.9897959183673469
74,195656,296,0.015295491129469724,0.0,0.9903100775193798,,,
75,197548,300,0.016531154931013325,0.0,0.9863247863247864,,,
76,199824,304,0.015102749469639644,0.0,0.9877175025588536,,,
77,202100,308,0.018554938589411627,0.0,0.9865186360031721,,,
78,206232,312,0.022114412293981683,0.0,0.9738968303293971,,,
79,210684,316,0.024433343228985643,0.0,0.9819778188539742,,,
80,214336,320,0.022444176764732385,0.0,0.984251968503937,,,
81,219780,324,0.03152755561215968,0.0,0.9779511533242876,0.023781465877471146,0.0,0.9772535804549284
82,222568,328,0.018347392286631722,0.0,0.9848771266540642,,,
83,226028,332,0.01864218917372081,0.0,0.9813925570228091,,,
84,230992,336,0.019786064110117053,0.0,0.9801932367149758,,,
85,234356,340,0.01924872672017997,0.0,0.9839208410636983,,,
86,237496,344,0.02717806326471031,0.0,0.9848101265822785,,,
87,239964,348,0.013134898567079981,0.25,0.9904534606205251,,,
88,243136,352,0.016030297760316475,0.0,0.9865506329113924,,,
89,245956,356,0.01432646594959126,0.0,0.9861325115562404,0.013802753290251008,0.0,0.990467111534795
90,247880,360,0.015061745587388823,0.25,0.9894859813084113,,,
91,250860,364,0.020579316989509346,0.0,0.9848389134554643,,,
92,253328,368,0.013995571380993022,0.0,0.9910581222056631,,,
93,255220,372,0.01578003414567542,0.0,0.990188679245283,,,
94,257784,376,0.027880750987302194,0.0,0.9853747714808044,,,
95,259580,380,0.015069719580377866,0.0,0.9901785714285715,,,
96,261952,384,0.025951932722895955,0.0,0.9830747531734838,,,
97,263812,388,0.013630424309562938,0.0,0.991810737033667,0.01449232622761326,0.25,0.9899928520371694
98,265704,392,0.010866629748738412,0.25,0.9943019943019943,,,
99,267340,396,0.013208632676829934,0.0,0.9876543209876543,,,
100,269872,400,0.022404422496715516,0.0,0.9900682805710739,,,
101,274452,404,0.032354066267951856,0.0,0.9803839732888147,,,
102,276856,408,0.013928878106180879,0.0,0.9897348160821214,,,
103,278780,412,0.013894828689952536,0.0,0.9923002887391723,,,
104,281664,416,0.01754318093812218,0.0,0.9845679012345679,,,
105,285604,420,0.015407288389730276,0.0,0.9853521126760564,0.021985074953986147,0.0,0.9831261101243339
106,289032,424,0.023052939880582404,0.0,0.9813664596273292,,,
107,291372,428,0.017237754139851406,0.0,0.9880281690140845,,,
108,293712,432,0.015255775099547553,0.25,0.9849906191369606,,,
109,295476,436,0.015459316313302131,0.0,0.9908592321755028,,,
110,297240,440,0.017728010876146522,0.0,0.9853515625,,,
111,299036,444,0.009306492543371668,0.0,0.9958333333333333,,,
112,300800,448,0.011497389578962522,0.0,0.9956483899042646,,,
113,304196,452,0.02694471562615001,0.0,0.9782729805013928,0.01465569822140703,0.0,0.9893491124260355
114,306568,456,0.011686408597316298,0.0,0.9905808477237049,,,
115,308524,460,0.013649646258782415,0.25,0.9905561385099685,,,
116,310544,464,0.021082526806652124,0.0,0.9857270294380018,,,
117,312468,468,0.019194409043253372,0.0,0.9891756869275604,,,
118,315672,472,0.013807586994914255,0.0,0.990125082290981,,,
119,319036,476,0.021390838535087244,0.0,0.9852086634970946,,,
120,320672,480,0.017267122816710022,0.0,0.9891657638136512,,,
121,322852,484,0.0163604189309495,0.0,0.9889455782312925,0.020191517666271367,0.0,0.9812938425565082
122,325000,488,0.016788046262591824,0.0,0.9895678092399404,,,
123,326956,492,0.01320974106081742,0.0,0.9881593110871906,,,
124,329744,496,0.022864618587381497,0.0,0.9858203916272789,,,
125,331444,500,0.021774339063616657,0.0,0.9893238434163701,,,
126,333624,504,0.015739683204115583,0.0,0.9910714285714286,,,
