step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,3524,4,0.01654408670807227,0.0,0.9878357830714648,0.008443322795370495,0.0,0.993103448275862
2,5320,8,0.005686980803031901,0.25,0.9972652689152234,,,
3,7372,12,0.00875399461363879,0.0,0.993960310612597,,,
4,10960,16,0.023834855254746715,0.0,0.9834327369118622,,,
5,13396,20,0.021940923193640716,0.0,0.9862448418156808,,,
6,15544,24,0.018545615608460443,0.25,0.9895245769540693,,,
7,18460,28,0.01680191047537625,0.5,0.9899434318038969,,,
8,20192,32,0.013510250133065423,0.25,0.9926624737945493,,,
9,22340,36,0.011918659154212304,0.0,0.9922660479505027,0.023169564828628312,0.0,0.9831162566328991
10,26472,40,0.014943465928362433,0.0,0.988388295401765,,,
11,29452,44,0.014590206808366682,0.25,0.9910836762688614,,,
12,31376,48,0.011969975619100348,0.0,0.9928172386272945,,,
13,34612,52,0.018411212304335,0.0,0.9871723368655884,,,
14,37560,56,0.017455292069317382,0.0,0.9885473176612417,,,
15,39516,60,0.011415882912998169,0.0,0.9912049252418645,,,
16,41952,64,0.018940972562335612,0.0,0.9825960841189267,,,
17,43940,68,0.01222836685609433,0.0,0.9926108374384236,0.014752484152163235,0.0,0.986642380085003
18,45928,72,0.009437221694020434,0.0,0.9910634495084897,,,
19,48492,76,0.017113932734877855,0.0,0.9854147675478578,,,
20,51984,80,0.017819243043088642,0.0,0.9830388692579505,,,
21,55188,84,0.021282407752401443,0.0,0.9859234234234234,,,
22,58264,88,0.024856566081868103,0.0,0.9851648351648352,,,
23,61372,92,0.01291848513796154,0.5,0.9895678092399404,,,
24,63456,96,0.014112955152385897,0.0,0.9890295358649789,,,
25,65060,100,0.013589315583698063,0.25,0.9926393270241851,0.010184503224311157,0.25,0.9947129909365559
26,69416,104,0.016826999186643845,0.0,0.9831338411316648,,,
27,71212,108,0.02151651421042161,0.0,0.9874776386404294,,,
28,73680,112,0.018629109534810423,0.0,0.9869146005509641,,,
29,76436,116,0.02062212591321555,0.0,0.9877022653721683,,,
30,78360,120,0.010859546642821615,0.0,0.9951690821256038,,,
31,79964,124,0.015887474973055083,0.25,0.9928143712574851,,,
32,83552,128,0.017813584853472453,0.0,0.9838616714697407,,,
33,85636,132,0.00966685062725123,0.25,0.9935846030473136,0.010354588621649136,0.25,0.9946879150066401
34,89320,136,0.01376256522152301,0.0,0.9844489519945909,,,
35,93100,140,0.019244216247231972,0.5,0.985632183908046,,,
36,94960,144,0.007488078446766979,0.25,0.9961127308066083,,,
37,96724,148,0.0073486088609244936,0.75,0.9977578475336323,,,
38,98520,152,0.00832033453097686,0.0,0.993993993993994,,,
39,101116,156,0.015733326997277232,0.0,0.987603305785124,,,
40,103808,160,0.024679095376637462,0.0,0.9824780976220275,,,
41,105988,164,0.01130928941689708,0.0,0.990418118466899,0.011194329887162648,0.25,0.9907692307692307
42,107944,168,0.010011573755646362,0.0,0.9938208032955715,,,
43,110284,172,0.012483446232018773,0.0,0.9913544668587896,,,
44,113968,176,0.01902468111454938,0.5,0.9841160220994475,,,
45,115764,180,0.009104059129357665,0.0,0.9933333333333333,,,
46,118712,184,0.02384946372716464,0.0,0.9843937575030012,,,
47,121404,188,0.012080250066360347,0.0,0.9911504424778761,,,
48,123168,192,0.008372711139692448,0.25,0.9938524590163934,,,
49,125892,196,0.013982210122932036,0.25,0.9905405405405405,0.009946830902124027,0.0,0.9947970863683663
